University ID,University Name,Location (State),Tier,Type,Department,Entrance Exam Cut-off,Average GPA,Average Salary (INR),Percentage Placed,Faculty Members,Faculty with PhD (%),Student-to-Faculty Ratio
34,University 34,Delhi,Tier 1,Private,Computer Science,2645,6.65,679862,96.83,82,38.69,13.41
34,University 34,Delhi,Tier 3,Government,Electrical Engineering,9393,8.81,1320020,84.15,54,43.89,18.06
34,University 34,Tamil Nadu,Tier 2,Private,Mechanical Engineering,9070,7.21,1144193,96.74,147,33.48,16.79
35,University 35,Tamil Nadu,Tier 2,Private,Computer Science,2990,6.58,1106388,96.59,196,66.83,14.16
35,University 35,Uttar Pradesh,Tier 2,Government,Electrical Engineering,1966,9.41,319816,65.95,137,71.64,18.03
35,University 35,Maharashtra,Tier 3,Government,Mechanical Engineering,2759,6.23,433554,68.4,81,32.31,12.86
36,University 36,Delhi,Tier 1,Private,Computer Science,8311,7.98,1498097,71.76,134,47.2,17.87
36,University 36,Karnataka,Tier 1,Private,Electrical Engineering,6797,8.68,1534816,73.37,74,76.77,15.6
36,University 36,Uttar Pradesh,Tier 3,Private,Mechanical Engineering,7305,7.43,1978811,93.59,154,59.54,10.41
37,University 37,Tamil Nadu,Tier 3,Government,Computer Science,9519,6.36,778446,82.78,70,59.16,13.57
37,University 37,Uttar Pradesh,Tier 3,Private,Electrical Engineering,6207,8.53,1278039,92.27,163,43.83,20.02
37,University 37,Delhi,Tier 2,Government,Mechanical Engineering,1822,9.14,1616870,85.33,180,32.47,10.4
38,University 38,Delhi,Tier 3,Private,Computer Science,2308,7.47,701921,96.42,167,40.15,22.38
38,University 38,Tamil Nadu,Tier 3,Government,Electrical Engineering,5491,8.91,1296261,90.95,156,46.17,14.42
38,University 38,Karnataka,Tier 2,Private,Mechanical Engineering,2387,6.49,1605289,82.63,78,73.67,22.0
39,University 39,Maharashtra,Tier 2,Government,Computer Science,3573,8.6,795553,85.34,122,33.08,19.68
39,University 39,Karnataka,Tier 2,Private,Electrical Engineering,9996,6.06,1314929,81.19,61,54.59,14.11
39,University 39,Maharashtra,Tier 1,Government,Mechanical Engineering,8141,8.9,1874486,64.26,105,28.21,23.5
40,University 40,Tamil Nadu,Tier 2,Private,Computer Science,7136,7.73,524137,96.58,173,44.26,21.56
40,University 40,Uttar Pradesh,Tier 2,Government,Electrical Engineering,3866,6.32,1296121,62.73,30,37.32,15.34
40,University 40,Maharashtra,Tier 3,Government,Mechanical Engineering,2333,7.67,716366,98.16,169,63.95,13.22
41,University 41,Karnataka,Tier 3,Private,Computer Science,2762,8.95,1229616,79.85,128,29.28,19.35
41,University 41,Uttar Pradesh,Tier 1,Government,Electrical Engineering,3343,8.55,1906872,88.2,123,46.09,13.7
41,University 41,Tamil Nadu,Tier 2,Government,Mechanical Engineering,5203,8.43,1040829,60.21,31,41.66,11.37
42,University 42,Tamil Nadu,Tier 1,Government,Computer Science,6136,9.33,1180438,80.85,31,52.51,23.09
42,University 42,Delhi,Tier 1,Government,Electrical Engineering,6604,8.42,620197,99.22,108,58.8,20.4
42,University 42,Maharashtra,Tier 1,Private,Mechanical Engineering,9238,6.15,1902575,97.01,170,53.35,17.1
43,University 43,Delhi,Tier 3,Government,Computer Science,9007,9.4,699953,89.8,135,70.67,14.79
43,University 43,Uttar Pradesh,Tier 3,Government,Electrical Engineering,8693,8.09,421826,82.43,64,24.62,20.44
43,University 43,Uttar Pradesh,Tier 3,Government,Mechanical Engineering,9230,7.1,1655267,91.63,172,64.27,17.8
44,University 44,Delhi,Tier 2,Private,Computer Science,9502,7.62,759297,60.85,32,51.74,24.09
44,University 44,Tamil Nadu,Tier 3,Government,Electrical Engineering,3032,7.41,1946836,79.19,35,72.42,24.76
44,University 44,Uttar Pradesh,Tier 2,Government,Mechanical Engineering,9190,7.47,1492324,89.29,196,26.63,15.32
45,University 45,Uttar Pradesh,Tier 2,Private,Computer Science,5388,6.15,1570464,96.41,92,26.57,15.87
45,University 45,Karnataka,Tier 3,Private,Electrical Engineering,2828,8.75,538506,83.54,58,72.75,24.17
45,University 45,Tamil Nadu,Tier 2,Government,Mechanical Engineering,8878,9.47,1272346,76.06,112,58.98,19.12
46,University 46,Delhi,Tier 2,Private,Computer Science,8274,6.62,1465529,61.47,22,69.57,22.01
46,University 46,Maharashtra,Tier 1,Government,Electrical Engineering,2913,7.84,1356233,80.61,101,61.76,12.31
46,University 46,Tamil Nadu,Tier 2,Government,Mechanical Engineering,8287,8.62,1146936,83.72,161,71.61,16.86
47,University 47,Tamil Nadu,Tier 3,Private,Computer Science,2218,9.34,1636651,61.42,59,75.9,21.03
47,University 47,Uttar Pradesh,Tier 3,Private,Electrical Engineering,6370,8.53,1460793,81.3,56,33.21,20.25
47,University 47,Delhi,Tier 1,Government,Mechanical Engineering,6233,7.73,806079,80.64,134,69.48,15.22
48,University 48,Uttar Pradesh,Tier 3,Government,Computer Science,2312,9.08,569458,94.73,111,71.03,23.01
48,University 48,Maharashtra,Tier 1,Government,Electrical Engineering,3604,8.44,1869123,84.74,185,31.35,23.22
48,University 48,Delhi,Tier 2,Government,Mechanical Engineering,6150,8.89,827007,73.4,177,74.52,10.02
49,University 49,Uttar Pradesh,Tier 2,Government,Computer Science,1294,6.68,788972,84.68,132,53.59,11.74
49,University 49,Uttar Pradesh,Tier 1,Government,Electrical Engineering,2007,6.37,1527165,60.74,82,43.53,12.69
49,University 49,Delhi,Tier 1,Private,Mechanical Engineering,8059,8.41,438563,72.04,36,66.26,20.63
50,University 50,Maharashtra,Tier 2,Private,Computer Science,7353,9.05,1779359,87.04,183,58.85,18.92
50,University 50,Karnataka,Tier 3,Government,Electrical Engineering,8813,7.3,1965970,70.1,45,29.54,17.03
50,University 50,Karnataka,Tier 1,Government,Mechanical Engineering,7540,8.99,1024238,91.79,176,37.9,22.6
51,University 51,Karnataka,Tier 2,Government,Computer Science,6658,9.04,1786205,66.04,111,63.88,23.64
51,University 51,Delhi,Tier 3,Private,Electrical Engineering,2682,6.96,690530,72.48,77,73.65,13.45
51,University 51,Delhi,Tier 3,Private,Mechanical Engineering,4056,8.28,1855979,82.51,46,78.09,12.78
52,University 52,Maharashtra,Tier 1,Government,Computer Science,9711,8.7,543373,81.21,150,67.81,14.41
52,University 52,Karnataka,Tier 2,Government,Electrical Engineering,8725,7.62,1396413,64.69,36,56.44,13.71
52,University 52,Maharashtra,Tier 2,Private,Mechanical Engineering,8099,6.22,1338836,70.76,107,45.99,24.77
53,University 53,Maharashtra,Tier 1,Private,Computer Science,2389,9.41,1193093,71.67,64,65.42,24.29
53,University 53,Maharashtra,Tier 3,Private,Electrical Engineering,4762,6.37,1785200,64.11,65,28.55,17.48
53,University 53,Karnataka,Tier 1,Private,Mechanical Engineering,7047,9.29,947008,80.71,52,72.95,11.24
54,University 54,Delhi,Tier 2,Private,Computer Science,4174,6.46,978758,68.03,141,68.04,13.0
54,University 54,Karnataka,Tier 1,Private,Electrical Engineering,7090,6.43,1267290,61.26,25,57.0,19.19
54,University 54,Maharashtra,Tier 2,Private,Mechanical Engineering,6383,9.32,1608507,92.07,81,56.74,17.27
55,University 55,Tamil Nadu,Tier 2,Private,Computer Science,1021,7.58,398818,61.63,125,46.32,20.87
55,University 55,Karnataka,Tier 3,Private,Electrical Engineering,2560,9.05,1499670,78.81,192,30.93,21.85
55,University 55,Tamil Nadu,Tier 2,Private,Mechanical Engineering,8057,8.29,1517060,99.85,124,49.6,11.22
56,University 56,Tamil Nadu,Tier 3,Government,Computer Science,7236,7.46,1840448,93.62,68,72.1,20.91
56,University 56,Delhi,Tier 1,Private,Electrical Engineering,4453,9.46,601207,81.73,198,54.72,16.58
56,University 56,Delhi,Tier 2,Private,Mechanical Engineering,2394,6.99,1435228,68.43,37,57.89,21.0
57,University 57,Tamil Nadu,Tier 2,Private,Computer Science,7895,8.11,1229065,69.5,97,50.76,16.2
57,University 57,Delhi,Tier 1,Private,Electrical Engineering,2525,9.05,922605,80.59,103,55.58,12.45
57,University 57,Tamil Nadu,Tier 1,Government,Mechanical Engineering,9219,6.9,1336548,73.01,187,55.92,15.95
58,University 58,Tamil Nadu,Tier 2,Government,Computer Science,1629,6.59,1342377,77.95,95,69.73,16.46
58,University 58,Karnataka,Tier 3,Private,Electrical Engineering,7656,6.88,1863509,66.7,140,56.33,15.35
58,University 58,Karnataka,Tier 1,Government,Mechanical Engineering,4568,8.47,641815,83.41,153,32.35,11.68
59,University 59,Uttar Pradesh,Tier 2,Private,Computer Science,1968,7.86,653299,62.07,20,27.33,16.78
59,University 59,Delhi,Tier 3,Government,Electrical Engineering,2229,8.41,1597076,79.2,62,21.04,14.85
59,University 59,Delhi,Tier 1,Government,Mechanical Engineering,6342,6.89,1355146,79.55,191,51.93,11.89
60,University 60,Delhi,Tier 2,Private,Computer Science,1891,8.36,1096657,67.53,27,29.37,13.52
60,University 60,Uttar Pradesh,Tier 1,Government,Electrical Engineering,6238,9.31,912297,60.7,164,69.85,22.97
60,University 60,Maharashtra,Tier 3,Private,Mechanical Engineering,5440,8.41,1347328,84.02,50,59.53,15.91
61,University 61,Delhi,Tier 1,Private,Computer Science,9125,8.3,1976273,84.2,82,78.63,16.1
61,University 61,Delhi,Tier 1,Government,Electrical Engineering,4230,8.58,719139,86.02,121,39.62,20.01
61,University 61,Uttar Pradesh,Tier 2,Government,Mechanical Engineering,2000,7.11,1366348,92.71,107,37.81,19.74
62,University 62,Delhi,Tier 3,Government,Computer Science,5806,7.97,508786,75.54,180,34.25,15.6
62,University 62,Karnataka,Tier 2,Private,Electrical Engineering,8010,6.59,1802025,90.37,28,42.79,22.95
62,University 62,Uttar Pradesh,Tier 2,Private,Mechanical Engineering,2177,6.38,583780,75.95,56,34.76,17.15
63,University 63,Tamil Nadu,Tier 3,Private,Computer Science,7570,6.06,1150538,60.3,66,24.28,24.32
63,University 63,Karnataka,Tier 3,Government,Electrical Engineering,1140,7.23,1788673,66.65,136,37.09,14.61
63,University 63,Karnataka,Tier 3,Private,Mechanical Engineering,8311,6.31,1805949,88.65,196,78.6,22.35
64,University 64,Tamil Nadu,Tier 3,Government,Computer Science,8052,6.65,1830814,64.28,189,31.11,23.77
64,University 64,Karnataka,Tier 2,Government,Electrical Engineering,6291,6.15,1755465,64.49,160,56.1,22.29
64,University 64,Karnataka,Tier 1,Private,Mechanical Engineering,5616,8.26,1949017,74.43,189,74.0,15.3
65,University 65,Uttar Pradesh,Tier 3,Government,Computer Science,6699,6.96,1797618,94.05,186,60.05,11.43
65,University 65,Karnataka,Tier 2,Government,Electrical Engineering,1482,9.04,1312384,68.67,169,21.42,19.63
65,University 65,Karnataka,Tier 3,Private,Mechanical Engineering,9841,6.9,1071148,83.78,172,79.27,12.05
66,University 66,Delhi,Tier 2,Government,Computer Science,7780,8.51,529104,60.63,43,27.7,11.56
66,University 66,Uttar Pradesh,Tier 2,Private,Electrical Engineering,7764,6.28,1197767,85.81,183,31.51,14.85
66,University 66,Tamil Nadu,Tier 2,Government,Mechanical Engineering,1707,7.55,1675035,62.7,24,24.2,19.6
67,University 67,Uttar Pradesh,Tier 3,Private,Computer Science,8979,7.14,1946933,86.78,191,59.71,18.37
67,University 67,Uttar Pradesh,Tier 3,Private,Electrical Engineering,5211,6.21,1524491,63.55,96,58.1,21.32
67,University 67,Uttar Pradesh,Tier 2,Private,Mechanical Engineering,1632,8.88,1417195,73.9,159,78.87,17.12
68,University 68,Delhi,Tier 3,Private,Computer Science,7770,6.53,1571300,89.49,127,34.62,20.07
68,University 68,Karnataka,Tier 2,Private,Electrical Engineering,8121,8.76,1468544,84.34,57,29.56,10.95
68,University 68,Karnataka,Tier 1,Government,Mechanical Engineering,7257,7.2,515400,63.51,94,69.52,14.2
69,University 69,Uttar Pradesh,Tier 2,Government,Computer Science,9453,9.22,1938314,82.98,79,71.09,13.13
69,University 69,Maharashtra,Tier 2,Private,Electrical Engineering,9785,8.2,491703,81.3,153,28.48,13.18
69,University 69,Maharashtra,Tier 3,Government,Mechanical Engineering,8842,6.61,844897,68.94,39,54.38,23.99
70,University 70,Uttar Pradesh,Tier 1,Government,Computer Science,5259,8.12,462624,84.25,73,69.76,14.76
70,University 70,Tamil Nadu,Tier 1,Private,Electrical Engineering,2048,8.33,1072577,62.73,44,33.95,11.2
70,University 70,Karnataka,Tier 1,Government,Mechanical Engineering,1845,9.07,1141531,94.06,179,32.96,19.29
71,University 71,Karnataka,Tier 3,Government,Computer Science,7430,6.21,1915777,78.39,149,49.08,21.31
71,University 71,Maharashtra,Tier 3,Government,Electrical Engineering,6448,8.74,1376717,64.04,99,61.5,19.27
71,University 71,Karnataka,Tier 3,Private,Mechanical Engineering,7928,6.81,727387,72.25,71,59.34,22.72
72,University 72,Uttar Pradesh,Tier 3,Government,Computer Science,8870,7.57,1530844,74.17,174,44.85,22.41
72,University 72,Delhi,Tier 1,Private,Electrical Engineering,4716,6.04,894305,65.35,168,21.15,13.9
72,University 72,Uttar Pradesh,Tier 3,Private,Mechanical Engineering,7007,7.87,1838112,72.94,101,23.88,10.64
73,University 73,Maharashtra,Tier 3,Government,Computer Science,5795,8.26,1633140,93.77,136,49.29,12.25
73,University 73,Karnataka,Tier 2,Private,Electrical Engineering,8394,7.32,1117052,78.38,40,77.37,12.0
73,University 73,Maharashtra,Tier 1,Government,Mechanical Engineering,7272,8.83,1352207,70.19,29,75.82,13.8
74,University 74,Delhi,Tier 3,Government,Computer Science,1775,9.13,1004590,95.58,106,51.1,12.25
74,University 74,Karnataka,Tier 1,Government,Electrical Engineering,5940,6.13,787510,88.65,128,68.13,11.58
74,University 74,Maharashtra,Tier 1,Private,Mechanical Engineering,7420,7.36,441214,71.86,158,78.24,24.13
75,University 75,Tamil Nadu,Tier 3,Government,Computer Science,9964,8.31,1212735,62.75,157,21.26,11.23
75,University 75,Karnataka,Tier 1,Government,Electrical Engineering,4839,6.8,745377,86.69,68,35.32,13.91
75,University 75,Maharashtra,Tier 1,Government,Mechanical Engineering,9569,7.67,1617630,98.74,168,27.51,17.12
76,University 76,Uttar Pradesh,Tier 2,Government,Computer Science,7303,8.62,1358079,84.66,30,22.62,11.66
76,University 76,Uttar Pradesh,Tier 3,Government,Electrical Engineering,6784,7.32,1533741,77.58,133,76.58,13.61
76,University 76,Delhi,Tier 3,Private,Mechanical Engineering,3160,8.26,1426370,86.86,138,72.76,13.88
77,University 77,Uttar Pradesh,Tier 1,Government,Computer Science,8165,7.61,1166183,89.93,154,30.84,10.81
77,University 77,Tamil Nadu,Tier 1,Private,Electrical Engineering,8003,6.15,1434033,64.32,199,69.07,13.2
77,University 77,Tamil Nadu,Tier 3,Private,Mechanical Engineering,9652,7.45,1899908,83.61,22,37.85,18.48
78,University 78,Delhi,Tier 2,Government,Computer Science,7251,8.23,1929311,77.35,155,47.69,10.14
78,University 78,Maharashtra,Tier 1,Government,Electrical Engineering,1448,6.97,756162,76.06,125,59.45,14.66
78,University 78,Delhi,Tier 2,Government,Mechanical Engineering,3159,8.74,417235,80.97,109,70.4,22.49
79,University 79,Maharashtra,Tier 2,Government,Computer Science,8544,8.37,1045182,72.22,75,50.12,11.87
79,University 79,Delhi,Tier 2,Private,Electrical Engineering,2013,8.08,403892,60.08,122,20.19,19.29
79,University 79,Karnataka,Tier 1,Government,Mechanical Engineering,3563,7.79,1417698,62.59,99,33.53,20.54
80,University 80,Uttar Pradesh,Tier 2,Private,Computer Science,4390,6.27,743031,73.37,49,78.92,13.15
80,University 80,Karnataka,Tier 3,Private,Electrical Engineering,6469,7.15,376256,63.54,135,23.75,22.02
80,University 80,Tamil Nadu,Tier 1,Private,Mechanical Engineering,6237,8.25,1801584,85.5,167,67.14,11.78
81,University 81,Karnataka,Tier 3,Government,Computer Science,4471,6.71,816595,74.49,69,29.92,20.5
81,University 81,Delhi,Tier 2,Government,Electrical Engineering,9186,7.05,1371860,62.25,54,45.78,23.09
81,University 81,Delhi,Tier 1,Private,Mechanical Engineering,3096,7.52,1767071,79.32,89,57.87,10.75
82,University 82,Uttar Pradesh,Tier 3,Government,Computer Science,3839,8.55,1915685,62.29,193,56.61,12.03
82,University 82,Karnataka,Tier 1,Private,Electrical Engineering,7868,6.24,992841,71.29,154,34.82,23.59
82,University 82,Uttar Pradesh,Tier 2,Government,Mechanical Engineering,8896,8.72,866088,79.5,126,23.76,23.6
83,University 83,Maharashtra,Tier 1,Private,Computer Science,1689,7.44,1053158,63.46,162,21.31,19.96
83,University 83,Karnataka,Tier 3,Private,Electrical Engineering,7342,7.38,1294969,76.75,147,57.47,17.42
83,University 83,Delhi,Tier 2,Government,Mechanical Engineering,4670,6.69,1970103,73.53,134,78.32,19.13
